iter	Logloss
0	0.6726140976
1	0.655069828
2	0.6501094103
3	0.6271857619
4	0.6189703941
5	0.6135350466
6	0.6006025672
7	0.5942928791
8	0.5703933835
9	0.5668671727
10	0.5525758266
11	0.5439747572
12	0.5408166051
13	0.5383603573
14	0.5341931581
15	0.5264601111
16	0.5200816393
17	0.5116357207
18	0.5045001507
19	0.4965678155
20	0.4937644601
21	0.4910821915
22	0.4850013852
23	0.4796522856
24	0.4743828773
25	0.4710502326
26	0.4701192975
27	0.4658873677
28	0.4649425149
29	0.4615551233
30	0.459828198
31	0.4588066041
32	0.4559826255
33	0.4479311109
34	0.4432854056
35	0.4403066039
36	0.4384346008
37	0.4372147024
38	0.4353324771
39	0.4346501231
40	0.4340150058
41	0.429004848
42	0.4277573824
43	0.4249827862
44	0.4229452312
45	0.4224995971
46	0.4208958149
47	0.4172659516
48	0.4161587954
49	0.4146468043
50	0.4128367901
51	0.4096419215
52	0.4077311754
53	0.4050598741
54	0.4026149809
55	0.4013537169
56	0.3997198939
57	0.3981200159
58	0.3966727257
59	0.3944423497
60	0.391913712
61	0.3910192847
62	0.3900169432
63	0.3892697692
64	0.3882923126
65	0.386988461
66	0.3850724101
67	0.3836772442
68	0.3834584355
69	0.3828860223
70	0.3823406696
71	0.3812164664
72	0.3805027008
73	0.3794903755
74	0.379036963
75	0.3781277537
76	0.3775286973
77	0.376949966
78	0.3761331439
79	0.3753755689
80	0.3749019802
81	0.374686718
82	0.3740155697
83	0.3735209107
84	0.3730541468
85	0.3728684187
86	0.3724334836
87	0.3720209002
88	0.3716309071
89	0.3712611198
90	0.3709105253
91	0.3705747128
92	0.3701630235
93	0.3698406816
94	0.3692949116
95	0.3689886928
96	0.3681147695
97	0.3673070371
98	0.3665568829
99	0.3658536077
100	0.3652713895
101	0.3646408916
102	0.3640592694
103	0.363509059
104	0.3630461693
105	0.3626098633
106	0.3621955216
107	0.3618024588
108	0.3614276648
109	0.3610735536
110	0.3606681228
111	0.3603340089
112	0.3599642217
113	0.3596644104
114	0.3593763113
115	0.359047085
116	0.3587813377
117	0.3585229218
118	0.3582220972
119	0.357983768
120	0.3577525318
121	0.3574815392
122	0.3572651148
123	0.357057333
124	0.3568107486
125	0.3566144705
126	0.3563837707
127	0.3561997414
128	0.3560228348
129	0.3558314443
130	0.355648011
131	0.3555155694
132	0.3553451002
133	0.3551827371
134	0.3550241292
135	0.3549183905
136	0.3548164368
137	0.3546678722
138	0.35457021
139	0.3544289172
140	0.3543350101
141	0.3541996777
142	0.3541098237
143	0.3540217578
144	0.3538942933
145	0.3538094163
146	0.3536857069
147	0.3536028266
148	0.3535232544
149	0.3534067273
150	0.3533308506
151	0.3532191515
152	0.3531452417
153	0.3530732393
154	0.3529652953
155	0.3528972864
156	0.3527942896
157	0.3527227938
158	0.3526545763
159	0.3526063561
160	0.3525617123
161	0.352517426
162	0.3524722457
163	0.3524289429
164	0.3523865342
165	0.3523442745
166	0.3523018062
167	0.3522599339
168	0.3522206247
169	0.3521800637
170	0.3521401584
171	0.3521019518
172	0.3520624042
173	0.3520254493
174	0.3519870341
175	0.3519501984
176	0.3519128263
177	0.3518781662
178	0.3518418968
179	0.3518080115
180	0.3517645299
181	0.3517301679
182	0.3516973853
183	0.3516631126
184	0.3516308069
185	0.3515966535
186	0.3515609801
187	0.3515238166
188	0.3514896631
189	0.3514525294
190	0.3514195681
191	0.3513869047
192	0.3513544798
193	0.351323247
194	0.3512921929
195	0.3512614965
196	0.3512316346
197	0.3512033224
198	0.3511739373
199	0.3511432111
200	0.3511141241
201	0.3510860801
202	0.3510571718
203	0.3510313034
204	0.3510047793
205	0.3509778678
206	0.3509528041
207	0.3509269059
208	0.3509024978
209	0.3508787155
210	0.3508538008
211	0.3508278728
212	0.3508058488
213	0.3507807851
214	0.3507583737
215	0.3507348895
216	0.3507118523
217	0.3506880403
218	0.350667119
219	0.350643754
220	0.3506190181
221	0.3505977094
222	0.3505747914
223	0.3505555987
224	0.3505333066
225	0.350512445
226	0.3504915237
227	0.3504715562
228	0.3504511118
229	0.3503889143
230	0.3503307104
231	0.3502734005
232	0.3502583504
233	0.3502435684
234	0.3502297401
235	0.3502162397
236	0.3502014875
237	0.3501882553
238	0.3501742184
239	0.3501614928
240	0.350148201
241	0.3501342237
242	0.3501209617
243	0.3501099646
244	0.3500963748
245	0.3500829339
246	0.3500711024
247	0.3500575423
248	0.3500459194
249	0.3500333726
250	0.3500213623
251	0.3500084281
252	0.3499966264
253	0.3499858677
254	0.3499739766
255	0.3499617875
256	0.349950999
257	0.3499396741
258	0.3499263227
259	0.3499150872
260	0.3499036729
261	0.3498921096
262	0.3498811722
263	0.3498708606
264	0.3498601615
265	0.3498489261
266	0.3498386145
267	0.349819839
268	0.349809885
269	0.3497999609
270	0.3497827649
271	0.3497719765
272	0.3497549593
273	0.3497453928
274	0.349735558
275	0.3497177958
276	0.3497078419
277	0.3496926129
278	0.3496820331
279	0.3496726453
280	0.3496575356
281	0.3496467173
282	0.3496368527
283	0.3496207595
284	0.349612534
285	0.3496027589
286	0.3495864868
287	0.349578917
288	0.3495689034
289	0.3495537043
290	0.3495446444
291	0.3495363593
292	0.3495215774
293	0.3495126963
294	0.3495025635
295	0.349488169
296	0.3494800329
297	0.3494710326
298	0.3494582474
299	0.3494486511
